CODIGO EUROPEO,NOMBRE,CATEGORÍA,DIRECCIÓN,ENTIDAD MATRIZ,CODIGO DE SUPERVISOR
ES0241,"A&G BANCO, S.A.",Entidad de crédito,"Paseo de la Castellana, 92, 28046, Madrid",,241
ES2080,"Abanca Corporacion Bancaria, S.A.",Entidad de crédito,"CI Cantón Claudino Pita, 2, 15300, Betanzos",,2080
ES8620,"Abanca Servicios Financieros E.F.C., S.A.",Otra institución,"CL RÚA NUEVA, 30, 15004, A CORUÑA",,8620
ES1535,"AKF Bank GmbH & Co Kg, Sucursal en España",Entidad de crédito,"AV DE EUROPA, 12, 28108, ALCOBENDAS",DE03439,1535
ES0011,"Allfunds Bank, S.A.",Entidad de crédito,"Cl Padres Dominicos, 7, 28050, Madrid",,11
ES6730,ALPHA FX EUROPE LIMITED SUCURSAL EN ESPAÑA,Otra institución,"PS CASTELLANA, 53, 28046, MADRID",MTA213000,6730
ES0200,"ANDBANK ESPAÑA BANCA PRIVADA, S.A.",Entidad de crédito,"PS DE LA CASTELLANA, 55, 28046, MADRID",,200
ES0136,"Aresbank, S.A.",Entidad de crédito,"Ps de la Castellana, 257, 28046, Madrid",,136
ES3183,"Arquia Bank, S.A.",Entidad de crédito,"CL TUTOR, 16, 28008, MADRID",,3183
ES1541,"Attijariwafa Bank Europe, Sucursal en España",Entidad de crédito,"Cl Bravo Murillo, 210, 28020, Madrid",FR23890,1541
ES0061,"Banca March, S.A.",Entidad de crédito,"AV DE ALEJANDRO ROSELLÓ, 8, 07002, PALMA",,61
ES1550,"Banca Popolare Etica Società Cooperativa per Azioni, Sucursal en España",Entidad de crédito,"Cl Santa María, 9, 48005, Bilbao",IT0001210299538,1550
ES0078,"Banca Pueyo, S.A.",Entidad de crédito,"CL SANTA MARÍA DE GUADALUPE, 2, 06700, VILLANUEVA DE LA SERENA",,78
ES0188,"Banco Alcalá, S.A.",Entidad de crédito,"Cl José Ortega y Gasset, 7, 28006, Madrid",,188
ES0182,"Banco Bilbao Vizcaya Argentaria, S.A.",Entidad de crédito,"Pz de San Nicolás, 4, 48005, Bilbao",,182
ES0225,"Banco Cetelem, S.A.",Entidad de crédito,"PASEO DE LOS MELANCÓLICOS, 14, 28005, Madrid",,225
ES0198,"Banco Cooperativo Español, S.A.",Entidad de crédito,"Cl Virgen de los Peligros, 4, 28013, Madrid",,198
ES0091,"Banco de Albacete, S.A.",Entidad de crédito,"AV DE CANTABRIA, SN, 28660, BOADILLA DEL MONTE",,91
ES0240,Banco de Crédito Social Cooperativo,Entidad de crédito,"Pº Castellana, 87, 28046, Madrid",,240
ES0003,"Banco de Depósitos, S.A.",Entidad de crédito,"PS DE LA CASTELLANA, 120, 28046, MADRID",,3
ES9000,BANCO DE ESPAÑA,Banco central,"CL ALCALÁ, 48, 28014, Madrid",,9000
ES1569,"Banco de Investimento Global SA, Sucursal en España",Entidad de crédito,"CL SERRANO 67, 28006, MADRID",PT61,1569
ES0169,"Banco de la Nación Argentina, Sucursal en España",Entidad de crédito,"Cl Núñez de Balboa, 73, 28001, Madrid",AR0ECBM00012,169
ES0081,"Banco de Sabadell, S.A.",Entidad de crédito,"AV. ÓSCAR ESPLÁ, 30, 03003, ALICANTE/ALACANT",,81
ES0184,"Banco Europeo de Finanzas, S.A.",Entidad de crédito,"Cl Bolsa, 4, 29015, Málaga",,184
ES0220,"BANCO FINANTIA, S.A., SUCURSAL EN ESPAÑA",Entidad de crédito,"AV MENÉNDEZ PELAYO, 67, 28009, MADRID",PT48,220
ES0232,"Banco Inversis, S.A.",Entidad de crédito,"Av de la Hispanidad, 6, 28042, Madrid",,232
ES0186,"Banco Mediolanum, S.A.",Entidad de crédito,"CL BARCAS, 10, 46002, VALENCIA",,186
ES0121,"Banco Occidental, S.A.",Entidad de crédito,"Cl Azul, 4, 28050, Madrid",,121
ES0235,"Banco Pichincha España, S.A..",Entidad de crédito,"Cl Lagasca, 4, 28001, Madrid",,235
ES1509,"Banco Primus, S.A., Sucursal en España",Entidad de crédito,"Av del Partenón, 10, 28042, Madrid",PT246,1509
ES0049,"Banco Santander, S.A.",Entidad de crédito,"Ps de Pereda, 9-12, 39004, Santander",,49
ES8843,BANGE CREDIT E.F.C. SA,Otra institución,"CL SERRANO, 106, 28006, MADRID",,8843
ES1574,"Bank Julius Baer Europe, S.A, Sucursal en España",Entidad de crédito,"PS DE LA CASTELLANA, 7, 28046, MADRID",LUB00032,1574
ES0219,"Bank of Africa Europe, S.A.",Entidad de crédito,"Cl Serrano, 59, 28006, Madrid",,219
ES1485,"Bank of America Europe DAC, Sucursal en España",Entidad de crédito,"Cl Marqués de Villamagna, 3, 28020, Madrid",IEMLCMBX,1485
ES1488,BANK PICTET & CIE (EUROPE) AG SUCURSAL EN ESPAÑA,Entidad de crédito,"CL ORTEGA Y GASSET, 29, 28006, MADRID",DE05933,1488
ES8832,"Bankinter Consumer Finance, E.F.C., S.A.",Otra institución,"AV DE BRUSELAS, 12, 28108, ALCOBENDAS",,8832
ES0128,"Bankinter, S.A.",Entidad de crédito,"Ps de la Castellana 29, 28046, Madrid",,128
ES1525,"Banque Chaabi du Maroc, Sucursal en España",Entidad de crédito,"Av del Doctor Arce, 35, 28002, Madrid",FR41439,1525
ES1580,"BANQUE J. SAFRA SARASIN (LUXEMBOURG) SA, SUCURSAL EN ESPAÑA",Entidad de crédito,"Pº DE LA CASTELLANA,13, 28046, MADRID",LUB00148,1580
ES0152,"Barclays Bank Ireland PLC, Sucursal en España",Entidad de crédito,"Cl José Abascal, 51, 28003, Madrid",IEC36964,152
ES1554,"BFF Bank, S.P.A. Sucursal en España",Entidad de crédito,"Ps DE LA CASTELLANA, 81, 28046, Madrid",IT0000464876170,1554
ESA86969607,"BIP&Drive EDE, S.A",Otra institución,"CL SERRANO, 45, 28001, MADRID",,6712
ES1533,"BMW Bank GmbH, Sucursal en España",Entidad de crédito,"Av de Burgos, 118, 28050, Madrid",DE03392,1533
ES6717,"Bnext Electronic Issuer, E.D.E. S.L.",Otra institución,"CL ZURBANO, 71, 28010, MADRID",,6717
ES1532,"BNP Paribas Factor, Sucursal en España",Otra institución,"Cl Emilio Vargas, 4, 28043, Madrid",FR18020,1532
ES1492,BNP Paribas Lease Group S.A. Sucursal en España,Entidad de crédito,"PS DE LOS MELANCÓLICOS, 14A, 28005, MADRID",FR30958,1492
ES0149,"BNP Paribas S.A., Sucursal en España",Entidad de crédito,"Cl Emilio Vargas, 4, 28043, Madrid",FR30004,149
ES1500,"BPCE Lease, Sucursal en España",Entidad de crédito,"Ps Recoletos, 7-9, 28004, Madrid",FR11128,1500
ES1576,"Bunq B.V., Sucursal en España",Entidad de crédito,"CL JOSÉ ABASCAL, 41, 28003, MADRID",NL159,1576
ESW0230061D,"CA AUTO BANK, SPA, SUCURSAL EN ESPAÑA",Entidad de crédito,"AV. DE LA VEGA, 15, 28108, ALCOBENDAS",IT0001863196870,8640
ES1545,"CA Indosuez Wealth (Europe), Sucursal en España",Entidad de crédito,"Pº Castellana, 1, 28046, Madrid",LUB00331,1545
ES0038,"CACEIS Bank Spain, S.A.",Entidad de crédito,"PQ.EMPRESARIAL LA FINCA-P.CLUB DEPORTIVO, 28223, POZUELO DE ALARCON",,38
ES1451,Caisse Régionale de Crédit Agricole Mutuel Sud-Méditerranée (Ariège et Pyrénées-Orientales),Entidad de crédito,"Cl Córcega, 301, 08008, Barcelona",FR17106,1451
ES1493,"Caixa Banco de Investimento, S.A. Sucursal en España",Entidad de crédito,"Cl Caléndula, 93, 28109, Alcobendas",PT25,1493
ES3025,"Caixa de Crédit dels Enginyers- Caja de Crédito de los Ingenieros, S. Coop. de Crédito",Entidad de crédito,"Via Laietana, 39, 08003, Barcelona",,3025
ES3159,"Caixa Popular-Caixa Rural, S. Coop. de Crédito V.",Entidad de crédito,"AV JUAN DE LA CIERVA, 9, 46980, PATERNA",,3159
ES3045,"Caixa Rural Altea, Cooperativa de Crédito Valenciana",Entidad de crédito,"PLACETA DEL CONVENT, 2, 03590, ALTEA",,3045
ES3162,"Caixa Rural Benicarló, S. Coop. de Credit V.",Entidad de crédito,"AV JOAN CARLES I, 18, 12580, BENICARLO",,3162
