Provincia,Sector,Periodo,Total
Albacete,Agricultura,2024T3,9.4
Albacete,Industria,2024T3,15.2
Albacete,Construcción,2024T3,
Albacete,Servicios,2024T3,
Alicante/Alacant,Agricultura,2024T3,2.6
Alicante/Alacant,Industria,2024T3,13.6
Alicante/Alacant,Construcción,2024T3,7.4
Alicante/Alacant,Servicios,2024T3,69.7
Almería,Agricultura,2024T3,21.3
Almería,Industria,2024T3,5.2
Almería,Construcción,2024T3,
Almería,Servicios,2024T3,63.6
Araba/Álava,Agricultura,2024T3,0.9
Araba/Álava,Industria,2024T3,28.2
Araba/Álava,Construcción,2024T3,4.2
Araba/Álava,Servicios,2024T3,62.1
Asturias,Agricultura,2024T3,3.7
Asturias,Industria,2024T3,14.6
Asturias,Construcción,2024T3,7.2
Asturias,Servicios,2024T3,
Ávila,Agricultura,2024T3,7.8
Ávila,Industria,2024T3,10.2
Ávila,Construcción,2024T3,7.3
Ávila,Servicios,2024T3,69.9
Badajoz,Agricultura,2024T3,10.7
Badajoz,Industria,2024T3,9.2
Badajoz,Construcción,2024T3,5.8
Badajoz,Servicios,2024T3,67.9
"Balears, Illes",Agricultura,2024T3,0.6
"Balears, Illes",Industria,2024T3,7.1
"Balears, Illes",Construcción,2024T3,10.3
"Balears, Illes",Servicios,2024T3,78.9
Barcelona,Agricultura,2024T3,0.3
Barcelona,Industria,2024T3,14.8
Barcelona,Construcción,2024T3,5.8
Barcelona,Servicios,2024T3,74.7
Bizkaia,Agricultura,2024T3,0.1
Bizkaia,Industria,2024T3,13.1
Bizkaia,Construcción,2024T3,6.1
Bizkaia,Servicios,2024T3,
Burgos,Agricultura,2024T3,2.5
Burgos,Industria,2024T3,23.6
Burgos,Construcción,2024T3,6.2
Burgos,Servicios,2024T3,64.6
Cáceres,Agricultura,2024T3,7.7
Cáceres,Industria,2024T3,9.6
Cáceres,Construcción,2024T3,9.4
Cáceres,Servicios,2024T3,67.5
Cádiz,Agricultura,2024T3,2.8
Cádiz,Industria,2024T3,7.9
Cádiz,Construcción,2024T3,6.6
Cádiz,Servicios,2024T3,71.3
Cantabria,Agricultura,2024T3,2.3
Cantabria,Industria,2024T3,15.8
Cantabria,Construcción,2024T3,7.2
Cantabria,Servicios,2024T3,70.6
Castellón/Castelló,Agricultura,2024T3,3.1
