MUNICIPIO,TOTAL,INDEFINIDO HOMBRES,TEMPORAL HOMBRES,INDEFINIDO MUJERES,TEMPORAL MUJERES,AGRICULTURA,INDUSTRIA,CONSTRUCCIÓN,SERVICIOS
15001,113,19,40,8,37,12,10,15,76
15002,452,74,134,63,164,2,6,20,422
15003,27,7,14,2,2,5,12,2,9
15004,42,10,6,10,9,2,8,,30
15005,"1,296",111,516,104,540,2,503,40,751
15006,120,9,67,7,30,7,10,,103
15007,13,2,2,2,2,2,,,11
15008,391,93,159,55,58,2,57,79,252
15009,207,31,63,30,69,2,15,9,182
15010,23,2,2,9,10,,2,,22
15011,306,68,66,55,104,20,149,8,129
15012,29,2,8,2,10,2,16,2,7
15013,64,9,13,2,37,2,2,2,58
15014,18,2,2,2,6,2,2,2,12
15015,52,14,15,2,18,,5,18,29
15016,36,15,8,2,11,16,,5,15
15017,382,79,124,56,113,,33,23,326
15018,9,2,,2,2,2,,2,2
15019,353,73,60,70,118,11,60,35,247
15901,13,2,2,5,2,2,2,,10
15020,100,7,32,6,54,72,11,2,15
15021,84,32,12,23,11,2,36,2,43
15022,40,18,7,2,10,19,,2,19
15023,68,8,13,8,31,2,2,2,59
15024,196,10,97,9,68,2,154,7,33
15025,6,2,,2,2,2,,,2
15026,9,2,2,2,6,,,,9
15027,30,8,15,2,2,,7,8,15
15028,27,15,2,6,5,8,,,19
15029,43,13,9,2,17,2,2,7,30
15030,"8,414","1,113","2,694","1,235","3,051",48,780,240,"7,346"
15031,532,107,206,77,108,,72,60,400
15032,72,16,19,8,20,11,19,7,35
15033,15,2,2,2,8,2,2,2,10
15034,9,5,2,2,,2,,,5
15035,228,52,86,19,54,2,94,10,120
15036,"1,155",126,341,154,454,12,152,49,942
15037,26,8,2,2,2,6,2,2,18
15038,40,12,18,2,5,12,,2,26
15039,6,6,,,,2,,2,2
15041,112,28,21,28,31,5,17,6,84
15040,26,16,2,2,5,12,2,,13
15042,32,5,11,2,13,2,11,2,15
15043,24,11,2,6,2,8,,,16
15044,6,2,2,2,2,,2,,5
15045,34,15,6,5,5,13,2,7,11
15046,96,12,16,25,35,2,9,2,83
15047,22,8,6,2,2,5,12,,5
15048,54,7,19,8,20,,2,,53
15049,10,,5,,5,2,5,,2
15050,2,2,2,,,,,2,2
15051,54,12,13,5,21,2,2,6,41
15053,59,11,13,9,22,8,16,2,33
15052,37,18,5,2,11,7,2,11,18
15054,621,96,185,54,240,7,72,64,478
15055,43,2,13,2,23,5,8,2,29
15056,80,14,30,11,20,2,,2,74
15057,186,52,41,22,59,26,8,10,142
15058,426,59,91,76,166,8,11,13,394
15059,220,23,72,26,74,7,27,13,173
15060,140,25,63,10,34,,5,9,126
15061,40,2,6,5,13,11,2,2,24
15062,79,10,25,15,28,6,2,,69
15902,13,2,2,2,,,2,2,8
15064,15,2,8,,2,2,5,2,5
15065,283,46,128,28,58,,119,7,157
15066,48,12,19,10,5,2,2,2,43
15067,232,19,62,9,118,16,160,2,55
15068,47,15,15,6,9,5,2,5,33
15069,109,19,35,14,37,2,8,6,93
15070,254,21,95,16,109,2,97,7,149
15071,50,21,5,9,14,11,14,5,20
15072,116,25,35,15,37,22,18,2,72
15073,315,50,95,38,117,21,137,12,145
15074,23,2,13,2,5,2,2,8,8
31212,133,30,23,28,37,6,6,9,112
15076,36,2,19,2,11,2,8,2,23
15077,127,32,26,26,41,9,23,7,88
15078,"4,124",569,"1,385",530,"1,503",24,284,85,"3,731"
15079,2,2,2,,2,2,,2,2
24165,12,9,,,2,2,,,11
15081,15,2,6,2,2,,9,,6
15082,326,39,132,38,109,2,7,10,307
15083,11,2,2,2,2,2,2,,9
15084,31,6,6,2,6,2,13,2,14
15085,20,8,2,7,2,2,2,2,12
15086,20,8,9,2,2,8,2,2,7
15088,19,6,2,6,5,,7,2,11
15087,25,11,2,6,2,,2,6,18
15089,92,16,46,6,20,5,7,,80
15091,2,,,,,,,2,
15090,2,,2,,2,,2,,2
15092,61,13,9,8,21,2,12,6,41
15093,32,2,16,7,6,2,2,2,28
15030,"24,047","3,623","7,713","3,198","8,371",600,"3,401","1,021","19,025"
02001,6,,2,2,2,2,,,2
02002,13,2,2,2,2,,2,2,9
02003,"4,369","1,119",926,726,"1,460",880,315,213,"2,961"
02004,6,2,2,2,2,2,,,2
02005,7,2,2,2,2,,2,2,5
02006,5,2,,,2,2,,,2
02007,46,19,11,12,2,5,2,,39
02008,54,12,21,2,18,35,,,19
02009,401,107,100,41,127,43,132,22,204
02010,74,23,35,5,9,61,2,,12
02011,10,2,5,,2,,,,10
02012,41,11,11,6,8,9,2,2,25
02014,2,,2,2,,,2,,2
02013,,,,,,,,,
02015,30,21,2,5,2,2,7,13,6
02016,66,38,23,2,2,60,2,,2
02017,2,2,,2,2,,,,2
02018,6,,2,,2,,,2,5
02019,27,2,15,2,5,19,,2,6
02020,11,8,2,2,2,6,,2,2
02021,11,2,2,2,2,2,,,7
02022,,,,,,,,,
02023,6,2,2,,2,2,,,2
02024,99,35,26,13,23,28,13,7,51
02025,136,47,25,9,48,13,37,7,79
02026,42,2,18,7,13,26,2,2,12
02029,91,23,30,12,20,23,19,2,47
02027,2,,2,,,,,2,
02028,2,,,2,,,,,2
02030,56,13,20,2,18,9,2,6,37
02031,5,,,2,2,,,,5
02032,20,7,11,2,2,18,,,2
02033,62,48,2,6,2,49,2,,11
02034,27,7,7,2,9,14,,2,10
02035,43,2,13,5,21,6,2,2,34
02036,2,2,,,,,,,2
02037,"1,020",426,210,205,163,595,103,38,284
02038,2,2,2,,2,2,,,
02039,22,2,5,2,10,2,,2,17
02040,12,2,10,,2,10,,,2
02041,2,,,2,,,,,2
02042,14,2,2,2,5,2,2,2,6
02043,10,2,2,2,2,2,2,2,2
02044,19,18,,2,,17,,2,2
02045,95,49,17,15,13,53,16,2,25
02046,16,2,5,2,6,2,2,6,2
02047,2,,2,,,,,2,
02048,8,2,2,2,2,2,,,2
02049,23,2,10,2,8,7,,2,15
02050,2,2,,,,2,2,,
02051,189,130,16,33,2,147,28,2,10
02052,8,2,2,2,2,2,,,7
02053,32,15,2,7,6,12,,2,19
02054,21,8,2,10,,20,,2,
02055,9,,2,,6,,,,9
02056,36,2,28,2,5,27,2,,8
02057,18,2,2,8,2,,2,2,12
02058,10,,8,,2,,,,10
02059,2,2,2,2,2,2,,,2
02060,11,2,2,2,2,2,2,,6
02061,19,,18,,2,19,,,
02062,5,2,,2,,2,,,2
02901,37,11,18,2,2,21,2,2,11
02063,46,26,13,2,2,40,2,,2
02064,2,,2,2,,,,,2
02065,22,6,9,2,6,12,,2,8
02066,2,,,2,2,,,,2
02067,33,,6,,26,,2,,32
02068,26,2,15,2,8,19,2,,5
02069,518,307,32,108,54,372,33,6,107
02070,40,37,,2,2,37,,,2
02071,11,2,2,2,2,5,,,6
02072,15,2,6,2,2,2,2,2,10
02073,105,39,25,12,15,47,2,2,55
02074,127,57,23,22,22,75,9,5,38
02075,27,17,2,2,5,10,2,,15
02076,,,,,,,,,
02077,,,,,,,,,
02078,13,2,2,2,5,5,,,8
02079,131,31,26,32,32,90,5,2,32
02080,33,23,9,2,,27,2,2,2
02081,630,184,191,73,171,172,168,65,225
02082,2,,,,2,,,,2
02083,2,2,2,,,2,,,
02084,5,2,2,,,2,,,2
02085,2,2,,,2,2,,,2
02086,18,2,2,2,6,,2,,17
02003,"9,240","3,013","2,062","1,450","2,427","3,201",940,442,"4,657"
03001,85,2,30,2,51,2,,,84
03002,72,21,20,12,12,10,27,6,29
03003,2,,,2,2,,,,2
03004,10,2,2,2,2,,,,10
03005,205,123,31,33,8,101,10,9,85
03006,14,7,2,5,2,,,,14
03007,2,2,,,2,,,2,2
03008,11,2,2,2,5,,,,11
03009,"1,009",145,314,177,323,10,349,29,621
03010,2,,,,,,,,2
03011,296,94,46,86,51,,2,23,269
03012,50,31,2,8,7,22,2,2,24
03013,20,2,7,2,5,,2,2,16
03014,"9,942","2,284","2,486","1,853","2,995",524,625,631,"8,162"
03015,438,182,68,78,105,89,105,29,215
03016,7,,6,,2,,2,,6
03017,6,2,2,2,2,,2,,5
03018,356,120,54,84,84,8,2,35,309
03019,249,84,42,77,35,26,77,15,131
03020,7,2,2,,2,,,,7
03021,130,33,27,32,21,2,72,,55
03022,2,2,,,,,2,,
03023,113,21,26,18,47,29,74,,10
03024,126,68,2,20,33,7,10,10,99
03025,19,11,2,2,,2,5,,10
