MUNICIPIO,TOTAL,HOMBRES MENORES DE 25 AÑOS,HOMBRES ENTRE 25 Y 44 AÑOS,HOMBRES A PARTIR DE 45 AÑOS,MUJERES MENORES DE 25 AÑOS,MUJERES ENTRE 25 Y 44 AÑOS,MUJERES A PARTIR DE 45 AÑOS,AGRICULTURA,INDUSTRIA,CONSTRUCCION,SERVICIOS,SIN EMPLEO ANTERIOR
15001,180,5,21,49,2,38,66,6,27,9,129,9
15002,"1,269",31,206,280,43,296,413,19,78,71,968,133
15003,41,2,7,13,,8,12,2,2,2,35,2
15004,277,5,33,86,2,43,107,6,30,30,189,22
15005,"1,515",30,236,358,35,311,545,19,145,110,"1,080",161
,166,5,20,46,2,37,54,8,20,14,112,12
,133,,11,45,2,24,52,8,16,12,89,8
15008,285,7,40,76,14,51,97,2,20,20,218,25
15009,606,12,80,147,14,128,225,14,41,33,455,63
15010,41,2,5,15,,2,15,2,6,2,27,2
15011,623,20,86,182,21,141,173,26,74,60,412,51
,115,2,18,21,2,30,43,5,10,9,86,5
,237,2,35,67,2,47,81,7,16,16,178,20
15014,129,2,12,27,2,24,61,2,22,16,80,8
15015,126,2,13,41,2,19,48,2,13,5,100,7
15016,209,2,25,39,2,42,98,10,24,18,142,15
15017,"1,091",28,124,266,16,196,461,11,90,77,832,81
,46,,5,13,2,9,18,2,7,5,27,2
15019,"1,624",27,193,348,43,356,657,25,288,200,969,142
15901,132,2,14,46,,18,51,7,7,12,103,2
15020,157,2,19,52,2,19,61,11,16,15,110,5
15021,220,2,25,55,2,54,78,8,28,14,147,23
15022,281,2,31,82,5,57,105,20,28,17,195,21
15023,329,9,37,61,7,81,134,11,18,27,243,30
15024,156,2,19,29,2,56,46,5,25,14,103,9
15025,39,,2,18,,2,15,6,6,2,25,
,65,2,10,22,2,7,22,2,10,5,46,2
,72,2,12,18,2,15,21,2,2,6,57,2
,72,,15,16,2,18,22,2,2,2,59,5
15029,264,6,33,69,6,39,111,12,59,48,125,20
,"12,539",252,"1,892","3,298",218,"2,534","4,345",143,752,715,"9,518","1,411"
15031,"1,438",38,183,355,31,255,576,10,118,87,"1,098",125
15032,123,2,20,24,2,23,49,2,12,9,86,14
15033,97,5,8,31,2,14,36,8,7,9,66,7
,126,2,15,28,2,19,62,6,8,9,101,2
15035,555,8,85,145,5,94,218,8,45,49,413,40
15036,"3,950",97,594,992,105,789,"1,373",93,250,276,"2,728",603
15037,179,5,28,37,2,39,67,7,17,13,131,11
15038,52,2,12,14,,12,13,2,2,6,35,2
15039,52,2,8,17,,9,17,2,2,2,43,2
,437,12,48,90,12,89,186,9,83,30,289,26
15040,117,2,11,26,2,22,55,2,11,9,90,2
15042,98,2,11,32,2,22,29,2,8,12,69,5
15043,239,5,37,54,2,35,106,6,63,22,134,14
,46,,10,15,2,9,11,2,2,2,36,2
15045,74,,7,23,2,24,19,11,6,8,45,2
15046,277,2,32,62,6,74,99,20,21,13,193,30
,57,2,10,17,2,7,20,6,10,2,33,5
15048,268,5,38,83,2,53,86,2,22,24,202,18
15049,30,,6,7,,7,10,,2,2,25,
15050,33,,5,15,,6,7,2,6,6,19,
15051,248,2,30,76,2,37,99,5,24,15,187,17
15053,250,6,35,81,2,40,86,17,28,26,163,16
,139,2,17,42,2,31,43,2,11,16,94,14
,"1,848",37,249,400,48,442,672,32,159,119,"1,291",247
15055,223,5,42,57,6,33,80,2,25,18,154,22
15056,318,5,31,78,5,82,117,8,30,27,212,41
15057,469,13,75,104,10,101,166,18,46,32,329,44
15058,"1,378",35,198,356,20,245,524,15,85,81,"1,097",100
15059,488,10,51,89,7,120,211,23,80,33,294,58
15060,273,6,47,52,2,59,106,9,31,18,182,33
15061,240,2,27,66,2,38,101,19,23,12,168,18
15062,182,5,25,59,2,30,60,11,25,18,112,16
15902,,,,,,,,,,,,
,105,2,16,31,2,21,35,2,11,6,77,7
15064,67,2,2,25,2,13,23,,7,2,58,
,344,9,40,97,6,64,128,10,49,19,241,25
,110,2,19,25,2,19,44,5,10,2,86,7
,302,7,51,69,8,59,108,9,37,14,226,16
15068,181,2,26,47,2,37,66,2,35,27,105,10
15069,316,6,47,98,2,57,104,5,39,24,226,22
,314,2,47,91,6,64,102,7,58,29,198,22
15071,294,8,45,69,5,61,106,14,27,33,208,12
15072,363,2,48,89,12,76,134,19,68,31,226,19
15073,"1,119",30,142,218,38,255,436,48,106,45,814,106
15074,152,2,12,40,2,32,63,2,21,12,105,12
31212,745,15,96,194,13,149,278,10,58,36,569,72
15076,90,,5,25,2,17,41,7,13,11,55,2
15077,387,2,32,80,7,95,170,28,48,39,235,37
15078,"3,720",136,712,941,78,787,"1,066",57,163,180,"2,835",485
15079,41,2,8,12,2,6,13,2,2,5,28,2
24165,38,2,2,11,2,8,13,5,5,,26,2
15081,48,,5,12,,8,23,2,10,2,32,2
15082,594,16,104,138,17,108,211,13,44,42,435,60
15083,22,,2,8,2,2,10,2,,2,15,2
15084,85,2,5,20,,15,44,2,18,6,56,2
15085,102,2,11,32,2,22,34,2,10,5,77,8
15086,72,2,7,17,2,18,24,2,8,2,55,5
15088,110,5,12,31,,25,37,2,19,14,62,11
15087,276,5,27,80,2,54,106,5,26,26,200,19
15089,129,7,24,36,2,26,35,9,10,12,94,2
15091,35,,5,14,2,5,10,2,5,2,24,2
15090,40,,7,14,,5,14,2,7,,29,2
15092,182,2,21,39,2,33,83,11,32,28,100,11
15093,129,2,14,34,2,18,59,8,27,12,75,7
,"47,855","1,077","6,870","12,049",975,"9,723","17,161","1,080","4,123","3,264","34,550","4,838"
02001,22,,2,2,2,2,12,5,2,,16,
02002,36,2,2,11,,2,16,2,2,8,24,
02003,"10,229",496,"1,245","1,958",451,"2,205","3,874",351,846,495,"7,498","1,039"
02004,37,,2,7,2,8,18,2,2,,24,5
02005,42,2,6,12,,5,18,10,2,2,26,2
02006,44,2,2,9,2,9,21,2,2,2,39,2
,55,2,6,20,2,7,19,2,2,2,49,2
02008,105,2,12,30,2,18,42,7,5,5,86,2
02009,"1,598",65,161,293,61,313,705,42,320,58,"1,013",165
02010,132,6,12,24,5,22,63,19,23,7,77,6
02011,26,,2,12,,2,7,2,2,2,19,2
02012,127,2,12,17,2,30,61,2,12,11,96,5
02014,14,,,2,,2,8,2,,,13,
02013,13,,,5,,2,7,2,2,,8,2
02015,154,5,9,21,5,33,81,7,15,2,122,6
02016,39,,2,7,,7,24,2,,2,37,
02017,52,2,2,24,,2,21,2,2,5,42,2
02018,56,2,7,9,5,7,27,5,2,10,32,6
02019,156,2,10,23,2,23,94,5,7,9,132,2
,29,,2,6,2,6,15,2,2,2,24,2
02021,97,2,13,15,2,25,39,5,7,2,71,11
02022,15,,2,2,,2,6,2,2,,12,
02023,19,,2,5,2,2,8,,2,2,16,
,249,6,19,44,2,65,112,21,25,7,175,21
02025,688,13,68,116,32,167,292,32,93,32,460,71
02026,61,2,2,11,,10,35,10,6,2,42,
02029,252,6,15,48,10,61,112,5,21,12,194,20
02027,12,,2,2,,2,5,2,2,,8,
02028,15,,,9,,,6,2,2,,12,
02030,341,9,33,72,10,57,160,16,17,17,277,14
,68,5,2,12,2,9,36,5,2,2,57,
02032,30,,2,9,2,2,12,2,2,2,24,2
02033,190,12,7,29,8,43,91,18,16,5,124,27
02034,107,5,5,24,2,23,48,17,12,2,71,2
02035,168,2,14,38,9,45,60,8,21,2,125,10
02036,5,,,2,,,2,,2,2,2,
,"2,047",71,180,325,100,449,922,156,236,90,"1,410",155
02038,22,,2,2,2,5,13,2,,2,18,
02039,55,2,7,12,2,14,17,5,2,,44,2
02040,27,,2,7,2,2,14,,2,2,19,2
02041,19,,2,11,,2,5,2,2,2,13,
02042,94,2,11,31,,10,39,6,7,2,78,2
02043,84,2,5,22,5,13,38,11,2,2,59,6
02044,117,2,6,19,2,15,72,2,6,7,93,8
02045,235,5,11,46,7,52,114,15,20,17,178,5
02046,91,2,8,21,2,10,48,2,9,41,34,2
02047,5,2,2,,,2,2,2,2,,2,
02048,78,2,6,20,2,17,31,2,9,6,58,2
02049,62,,6,23,,5,28,2,5,2,54,
02050,2,,2,,,,,,,,2,
02051,101,2,12,9,2,27,47,5,34,2,51,9
02052,47,2,2,15,2,7,18,2,7,2,34,2
02053,175,8,17,24,2,25,97,13,17,8,133,2
02054,25,,2,2,,5,16,2,2,,20,2
02055,89,2,15,30,2,14,27,2,2,6,73,5
02056,104,2,14,18,2,17,51,9,10,2,78,2
02057,140,2,11,33,2,24,65,2,11,7,117,2
02058,15,,2,2,,2,5,,2,,13,2
02059,21,2,2,2,2,5,9,2,,2,18,2
02060,80,,6,24,2,16,33,5,6,2,63,5
,34,2,2,13,2,2,13,2,2,2,22,5
02062,22,,2,7,,,12,2,2,2,16,
02901,189,7,13,32,13,53,71,5,15,7,147,15
02063,104,2,2,25,2,25,48,7,2,5,85,2
02064,38,,2,13,2,9,13,2,2,2,31,2
02065,26,2,2,6,2,2,14,2,2,2,21,2
02066,6,,,2,,2,2,2,,,5,
,97,2,9,36,2,16,33,7,2,2,79,6
02068,16,2,,5,2,2,2,,2,,10,2
02069,"1,023",35,103,141,45,268,431,69,111,25,697,121
02070,17,2,,7,,2,5,,2,2,14,2
02071,60,,2,15,2,10,30,6,2,2,47,2
02072,157,2,14,33,5,31,71,12,9,2,120,12
02073,391,8,30,58,10,80,205,42,27,12,279,31
