Provincia,Sexo,Grupos de edad,Periodo,Total
Albacete,Ambos sexos,Total edades,2023,17.06
Albacete,Ambos sexos,Total edades,2022,17.12
Albacete,Ambos sexos,Total edades,2021,11.76
Alicante/Alacant,Ambos sexos,Total edades,2023,41.24
Alicante/Alacant,Ambos sexos,Total edades,2022,43.88
Alicante/Alacant,Ambos sexos,Total edades,2021,32.63
Almería,Ambos sexos,Total edades,2023,30.35
Almería,Ambos sexos,Total edades,2022,33.81
Almería,Ambos sexos,Total edades,2021,30.93
Araba/Álava,Ambos sexos,Total edades,2023,18.38
Araba/Álava,Ambos sexos,Total edades,2022,19.07
Araba/Álava,Ambos sexos,Total edades,2021,12.41
Asturias,Ambos sexos,Total edades,2023,14.29
Asturias,Ambos sexos,Total edades,2022,13.39
Asturias,Ambos sexos,Total edades,2021,7.5
Ávila,Ambos sexos,Total edades,2023,21.48
Ávila,Ambos sexos,Total edades,2022,23.7
Ávila,Ambos sexos,Total edades,2021,14.76
Badajoz,Ambos sexos,Total edades,2023,8.56
Badajoz,Ambos sexos,Total edades,2022,8.08
Badajoz,Ambos sexos,Total edades,2021,5.25
Islas Baleares,Ambos sexos,Total edades,2023,37.15
Islas Baleares,Ambos sexos,Total edades,2022,36.63
Islas Baleares,Ambos sexos,Total edades,2021,26.49
Barcelona,Ambos sexos,Total edades,2023,35.3
Barcelona,Ambos sexos,Total edades,2022,35.28
Barcelona,Ambos sexos,Total edades,2021,25.99
Bizkaia,Ambos sexos,Total edades,2023,17.05
Bizkaia,Ambos sexos,Total edades,2022,17.42
Bizkaia,Ambos sexos,Total edades,2021,10.45
Burgos,Ambos sexos,Total edades,2023,18.66
Burgos,Ambos sexos,Total edades,2022,18.95
Burgos,Ambos sexos,Total edades,2021,11.96
Cáceres,Ambos sexos,Total edades,2023,10.72
Cáceres,Ambos sexos,Total edades,2022,10.18
Cáceres,Ambos sexos,Total edades,2021,6.95
Cádiz,Ambos sexos,Total edades,2023,11.21
Cádiz,Ambos sexos,Total edades,2022,11.41
Cádiz,Ambos sexos,Total edades,2021,9.08
Cantabria,Ambos sexos,Total edades,2023,15.65
Cantabria,Ambos sexos,Total edades,2022,16.14
Cantabria,Ambos sexos,Total edades,2021,10.24
Castellón/Castelló,Ambos sexos,Total edades,2023,29.7
Castellón/Castelló,Ambos sexos,Total edades,2022,30.68
Castellón/Castelló,Ambos sexos,Total edades,2021,18.54
Ciudad Real,Ambos sexos,Total edades,2023,14.7
Ciudad Real,Ambos sexos,Total edades,2022,15.2
Ciudad Real,Ambos sexos,Total edades,2021,10.15
Córdoba,Ambos sexos,Total edades,2023,8.11
Córdoba,Ambos sexos,Total edades,2022,8.98
Córdoba,Ambos sexos,Total edades,2021,5.97
A Coruña,Ambos sexos,Total edades,2023,14.73
A Coruña,Ambos sexos,Total edades,2022,14.8
A Coruña,Ambos sexos,Total edades,2021,9.52
Cuenca,Ambos sexos,Total edades,2023,24.86
Cuenca,Ambos sexos,Total edades,2022,25.74
Cuenca,Ambos sexos,Total edades,2021,17.87
Gipuzkoa,Ambos sexos,Total edades,2023,16.83
Gipuzkoa,Ambos sexos,Total edades,2022,17.68
Gipuzkoa,Ambos sexos,Total edades,2021,10.87
Girona,Ambos sexos,Total edades,2023,33.48
Girona,Ambos sexos,Total edades,2022,38.01
Girona,Ambos sexos,Total edades,2021,25.38
Granada,Ambos sexos,Total edades,2023,18.54
Granada,Ambos sexos,Total edades,2022,18.87
Granada,Ambos sexos,Total edades,2021,15.18
Guadalajara,Ambos sexos,Total edades,2023,26.32
Guadalajara,Ambos sexos,Total edades,2022,27.64
Guadalajara,Ambos sexos,Total edades,2021,16.35
