Provincia,Periodo,Adultos,Jóvenes,Mayores,Todas las edades,Población Total,% Jóvenes,% Adultos,% Mayores
Albacete,2024,258509.0,48488.0,78858.0,388517.0,385855.0,12.56637856189501,66.99641056873696,20.437210869368027
Albacete,2025,259370.0,47527.0,81046.0,390623.0,387943.0,12.25102656833607,66.85776003175724,20.89121339990669
Albacete,2026,259917.0,46659.0,83443.0,392704.0,390019.0,11.963263328196831,66.64213794712566,21.394598724677515
Alicante/Alacant,2024,1312030.0,254890.0,413758.0,1994108.0,1980678.0,12.868825725332437,66.24145873281775,20.88971554184981
Alicante/Alacant,2025,1346779.0,255761.0,432867.0,2049222.0,2035407.0,12.565594989110284,66.1675527302402,21.26685228064952
Alicante/Alacant,2026,1379912.0,256377.0,452413.0,2103044.0,2088702.0,12.274465194173223,66.06552777753839,21.660007028288383
Almería,2024,520025.0,113624.0,121416.0,761869.0,755065.0,15.048240879924247,68.87155410461351,16.080205015462244
Almería,2025,535010.0,113789.0,126312.0,781908.0,775111.0,14.680349008077552,69.02366241738281,16.295988574539646
Almería,2026,549406.0,113719.0,131548.0,801650.0,794673.0,14.310162796521336,69.13611007294824,16.55372713053042
Araba/Álava,2024,216291.0,43822.0,76453.0,338855.0,336566.0,13.020328850804894,64.26406707748258,22.71560407171253
Araba/Álava,2025,218167.0,43113.0,78258.0,341840.0,339538.0,12.697547844423893,64.2540746543833,23.048377501192796
Araba/Álava,2026,220254.0,42097.0,80103.0,344788.0,342454.0,12.292745887038842,64.31637533800159,23.390878774959557
Asturias,2024,625795.0,95915.0,282384.0,1008874.0,1004094.0,9.552392505084185,62.324344135110856,28.123263359804955
Asturias,2025,623247.0,93280.0,287094.0,1008391.0,1003621.0,9.294345176117279,62.099836492062245,28.605818331820476
Asturias,2026,620453.0,90990.0,291786.0,1007977.0,1003229.0,9.0697138938368,61.845600555805305,29.084685550357893
Badajoz,2024,438599.0,82829.0,139714.0,665803.0,661142.0,12.5281709526849,66.33960631755357,21.132222729761533
Badajoz,2025,436697.0,80725.0,142873.0,664975.0,660295.0,12.225596135060844,66.13665104233714,21.637752822602017
Badajoz,2026,434166.0,78815.0,146575.0,664194.0,659556.0,11.949705559497602,65.82701089824063,22.223283542261765
Islas Baleares,2024,859966.0,157506.0,205443.0,1232014.0,1222915.0,12.879554179971626,70.3209953267398,16.799450493288575
Islas Baleares,2025,879471.0,156806.0,212351.0,1257759.0,1248628.0,12.558263950512083,70.43498944441419,17.006746605073726
Islas Baleares,2026,898329.0,155685.0,220123.0,1283539.0,1274137.0,12.218858725553062,70.50489860980413,17.27624266464281
Barcelona,2024,3946947.0,750173.0,1148679.0,5887015.0,5845799.0,12.832685489186337,67.51766524986576,19.649649260947903
Barcelona,2025,4033246.0,740872.0,1172558.0,5987862.0,5946676.0,12.458590311629555,67.82353704826023,19.71787264011021
Barcelona,2026,4117691.0,731744.0,1197001.0,6087714.0,6046436.0,12.10207136898497,68.10112601869928,19.79680261231575
Bizkaia,2024,739232.0,131155.0,281676.0,1158885.0,1152063.0,11.384360056698288,64.16593536985391,24.449704573447807
Bizkaia,2025,740914.0,128497.0,286863.0,1163186.0,1156274.0,11.113023383730845,64.07771860303008,24.809258013239077
Bizkaia,2026,743123.0,125624.0,291829.0,1167456.0,1160576.0,10.824280357339804,64.03053311459136,25.14518652806882
Burgos,2024,225553.0,40562.0,91054.0,359286.0,357169.0,11.356528702099006,63.15021740408602,25.49325389381497
Burgos,2025,226427.0,39956.0,92870.0,361338.0,359253.0,11.121966970352371,63.02717026719331,25.850862762454312
Burgos,2026,227155.0,39156.0,94905.0,363368.0,361216.0,10.840051381998581,62.886195517363575,26.273753100637848
Cantabria,2024,379888.0,66311.0,141747.0,591164.0,587946.0,11.278416725345524,64.61273654383226,24.10884673082222
Cantabria,2025,381500.0,64676.0,145340.0,594818.0,591516.0,10.933939234103558,64.49529683051685,24.5707639353796
Cantabria,2026,383056.0,63140.0,148849.0,598373.0,595045.0,10.610962196136427,64.3742910200069,25.014746783856683
Castellón/Castelló,2024,407622.0,79866.0,123780.0,615515.0,611268.0,13.065627515263353,66.68466204676182,20.249710437974834
Castellón/Castelló,2025,416349.0,79695.0,127403.0,627823.0,623447.0,12.782963106727596,66.78177936536707,20.43525752790534
Castellón/Castelló,2026,424458.0,79564.0,131476.0,640071.0,635498.0,12.51994498802514,66.79139824200863,20.688656769966233
Ceuta,2024,57615.0,13863.0,11077.0,83287.0,82555.0,16.79244140270123,69.78983707831144,13.41772151898734
Ceuta,2025,57655.0,13184.0,11399.0,82962.0,82238.0,16.03151827622267,70.10749288650015,13.860988837277171
Ceuta,2026,57707.0,12490.0,11779.0,82677.0,81976.0,15.23616668293159,70.39499365668,14.368839660388405
Ciudad Real,2024,323365.0,60676.0,104984.0,492434.0,489025.0,12.407545626501712,66.12443126629518,21.46802310720311
Ciudad Real,2025,323260.0,59478.0,107639.0,493691.0,490377.0,12.129035415608808,65.92070998435898,21.95025460003222
Ciudad Real,2026,322885.0,58157.0,110544.0,494962.0,491586.0,11.830483374221398,65.6823017742572,22.487214851521404
A Coruña,2024,708508.0,119840.0,293622.0,1128187.0,1121970.0,10.681212510138417,63.14856903482268,26.170218455038906
A Coruña,2025,710826.0,117482.0,297855.0,1132466.0,1126163.0,10.432060012626946,63.11928202222946,26.44865796514359
A Coruña,2026,712671.0,115331.0,302343.0,1136568.0,1130345.0,10.203168059309325,63.04898062096086,26.747851319729815
Cuenca,2024,128999.0,21988.0,46643.0,198939.0,197630.0,11.125841218438497,65.272984870718,23.601173910843496
Cuenca,2025,130240.0,22017.0,47577.0,201095.0,199834.0,11.017644645055396,65.1740944984337,23.808260856510906
