MUNICIPIO,Indicadores de renta media y mediana,Periodo,Total,Provincia
28001,Renta neta media por hogar,2022,29.297,Madrid
28001,Renta neta media por hogar,2021,27.228,Madrid
28002,Renta neta media por hogar,2022,43.032,Madrid
28002,Renta neta media por hogar,2021,40.309,Madrid
28003,Renta neta media por hogar,2022,33.055,Madrid
28003,Renta neta media por hogar,2021,31.144,Madrid
28004,Renta neta media por hogar,2022,34.027,Madrid
28004,Renta neta media por hogar,2021,32.321,Madrid
28005,Renta neta media por hogar,2022,39.439,Madrid
28005,Renta neta media por hogar,2021,37.487,Madrid
28006,Renta neta media por hogar,2022,62.298,Madrid
28006,Renta neta media por hogar,2021,57.962,Madrid
28007,Renta neta media por hogar,2022,39.129,Madrid
28007,Renta neta media por hogar,2021,36.837,Madrid
28008,Renta neta media por hogar,2022,31.233,Madrid
28008,Renta neta media por hogar,2021,28.998,Madrid
28009,Renta neta media por hogar,2022,55.001,Madrid
28009,Renta neta media por hogar,2021,51.371,Madrid
28010,Renta neta media por hogar,2022,47.565,Madrid
28010,Renta neta media por hogar,2021,44.955,Madrid
28011,Renta neta media por hogar,2022,26.074,Madrid
28011,Renta neta media por hogar,2021,24.987,Madrid
28012,Renta neta media por hogar,2022,33.443,Madrid
28012,Renta neta media por hogar,2021,31.591,Madrid
28013,Renta neta media por hogar,2022,38.060,Madrid
28013,Renta neta media por hogar,2021,35.897,Madrid
28014,Renta neta media por hogar,2022,37.574,Madrid
28014,Renta neta media por hogar,2021,34.865,Madrid
28015,Renta neta media por hogar,2022,51.31,Madrid
28015,Renta neta media por hogar,2021,48.247,Madrid
28016,Renta neta media por hogar,2022,28.644,Madrid
28016,Renta neta media por hogar,2021,30.175,Madrid
28017,Renta neta media por hogar,2022,43.660,Madrid
28017,Renta neta media por hogar,2021,41.241,Madrid
28018,Renta neta media por hogar,2022,42.323,Madrid
28018,Renta neta media por hogar,2021,39.478,Madrid
28019,Renta neta media por hogar,2022,30.818,Madrid
28019,Renta neta media por hogar,2021,29.326,Madrid
28020,Renta neta media por hogar,2022,34.266,Madrid
28020,Renta neta media por hogar,2021,32.533,Madrid
28021,Renta neta media por hogar,2022,34.498,Madrid
28021,Renta neta media por hogar,2021,30.910,Madrid
28022,Renta neta media por hogar,2022,82.812,Madrid
28022,Renta neta media por hogar,2021,76.685,Madrid
28023,Renta neta media por hogar,2022,46.878,Madrid
