MUNICIPIO,Renta
44001,12349
40001,12779
10001,10779
27001,11898
48001,16943
31001,17221
09001,15831
26001,11546
20001,18661
19001,15605
30001,11124
50001,16431
48002,15714
30002,10717
34001,15480
31002,17299
31003,18156
31004,20300
15001,13806
42001,14287
44002,14029
25001,10999
02001,13063
13001,10703
31005,18547
10002,10627
49002,13494
16001,13865
34003,15129
22001,14830
22002,15252
04001,11635
19002,15605
31006,13408
08001,15746
04002,10927
37001,12448
28001,15715
24001,13075
10003,10733
16002,10921
06001,10200
10004,9600
10005,9608
50002,11674
06002,9169
22003,13271
47001,14694
14001,9721
05001,13001
38001,10442
46001,11574
31007,20954
19003,14677
46002,12267
04003,9316
09003,12993
40002,15697
05002,10657
42003,17103
40003,13895
20002,17693
35001,13088
37002,12268
25002,14602
36020,11791
50003,15136
26002,13149
03002,9108
25003,13776
42004,14139
03003,13293
18001,10183
41001,9650
50004,12819
09006,15831
47002,13858
44003,15639
44004,12240
13002,9963
22004,15064
40004,13194
09007,15831
34004,14891
47003,12481
31008,17221
14002,9983
08002,16814
44005,12349
26003,13113
30003,10556
50005,16500
35002,12081
17001,19392
46004,12236
38002,12931
01051,14168
10006,9751
37003,13008
37004,13008
06003,11024
20016,16326
31009,20583
46042,12565
46043,17105
08014,16768
43001,12665
17002,17892
03004,12459
12002,16894
22907,13748
50006,13364
22006,16596
25038,10923
20003,16215
28002,15283
26004,16461
48911,19605
45001,11132
03014,12743
44006,13380
50007,16431
47004,11912
50008,13324
10903,10151
07002,14441
21001,9832
38003,12974
29001,8994
37005,11986
45002,9580
28003,18804
18002,10353
37006,12280
13003,11887
19004,15605
28004,11672
25004,14320
06004,10228
41002,9494
46005,12091
34005,12811
37007,12648
50009,14723
16003,11836
19005,10455
07001,14846
25005,13156
02002,11346
44007,13647
34006,14587
37008,12096
37009,12502
02003,13836
25006,11341
46006,11402
41003,9225
46007,12296
10007,13314
13004,10165
16004,12627
46008,11889
46009,14198
46010,14817
22007,12266
16005,12682
19006,13244
44008,12645
22008,13552
04004,10464
23001,10323
17003,10183
19007,12762
44009,13703
45003,10637
02004,10767
25007,13300
03005,9685
22009,12365
26005,12817
16006,12990
19008,15121
44010,11524
16007,10095
37010,13004
37011,10039
46011,11295
26006,13359
50010,14177
22011,16425
22012,14195
22013,14720
25008,13184
50011,13164
25009,12654
09009,15412
43002,12484
43003,14858
20004,17366
12003,11788
04005,11054
18003,12452
18004,9874
17004,15553
46012,13396
46013,16132
02005,10489
50012,14420
05005,12887
04006,9761
30004,9901
06005,9808
46014,13753
18005,12494
18006,7949
18007,10837
06006,9725
45004,10139
02006,10709
44011,15239
50013,13797
41004,11426
22014,17718
28005,14617
44012,15389
16008,12291
11001,10229
50014,15081
12004,11646
02007,11219
22015,15603
41005,10202
11002,9421
23002,10863
